date,stock,action,amount,price,value
2024-11-18,SH601888,BUY,934.3013991722149,10.35916805267334,9678.58520587281
2024-11-18,SZ002129,BUY,2422.9637236081767,3.871187686920166,9379.74733268621
2024-11-18,SZ000708,BUY,1390.9207658847502,6.777698993682861,9427.242275229666
2024-11-18,SZ000661,BUY,133.44476021108807,71.97366333007812,9604.508244595858
2024-11-18,SZ002050,BUY,183.22249274814683,51.177677154541016,9376.90158131489
2024-11-18,SH603195,BUY,5313.222521987644,1.837402105331421,9762.526247994418
2024-11-18,SZ002311,BUY,1241.3029886246284,7.6796979904174805,9532.832067239771
2024-11-18,SH600031,BUY,135.7769574208589,69.5257797241211,9439.998833254005
2024-11-18,SZ002475,BUY,268.8619836318556,34.286067962646484,9218.220243373748
2024-11-18,SH600276,BUY,21.49451123387468,451.2986145019531,9700.44313924431
2024-11-19,SZ000786,BUY,612.6418425889367,17.681047439575195,10832.149482283749
2024-11-19,SZ002475,SELL,268.8619836318556,34.286067962646484,9218.220243373748
2024-11-19,SZ002821,BUY,1263.273639833117,8.470065116882324,10700.00998982745
2024-11-19,SZ002129,SELL,2422.9637236081767,3.871187686920166,9379.74733268621
2024-11-20,SZ000876,BUY,275.6602607358238,34.93785858154297,9630.979206139473
2024-11-20,SZ000708,SELL,1390.9207658847502,6.643191337585449,9240.15278319329
2024-11-20,SH601888,SELL,934.3013991722149,10.335108757019043,9656.106572279903
2024-11-20,SZ300347,BUY,473.9142857366616,20.01076889038086,9483.389245726254
2024-11-21,SZ000786,SELL,612.6418425889367,18.725961685180664,11472.307671058912
2024-11-21,SH600745,BUY,539.2741661416675,11.202932357788086,6041.452005587675
2024-11-21,SH600026,BUY,2330.63433370517,2.565472364425659,5979.177974702223
2024-11-22,SZ000661,SELL,133.44476021108807,72.79662322998047,9714.327931101667
2024-11-22,SZ002709,BUY,3709.229187810822,5.42629337310791,20127.3657611563
2024-11-22,SZ300347,SELL,473.9142857366616,20.19536018371582,9570.869696660298
2024-11-25,SZ000895,BUY,181.7357961750497,83.24456787109375,15128.517819301185
2024-11-25,SH600436,BUY,136.35008480892165,110.13810729980469,15017.340271022482
2024-11-25,SZ002821,SELL,1263.273639833117,8.476974487304688,10708.738415349862
2024-11-25,SZ002709,SELL,3709.229187810822,5.42629337310791,20127.3657611563
2024-11-26,SH600745,SELL,539.2741661416675,11.34901237487793,6120.229184993761
2024-11-26,SH600031,SELL,135.7769574208589,70.556884765625,9579.999138570714
2024-11-26,SZ000792,BUY,1187.7480999873471,6.87557315826416,8166.448955052259
2024-11-26,SH600584,BUY,1374.8282212192298,6.104746341705322,8392.97755396133
2024-11-27,SZ300782,BUY,1172.434316308882,10.40299129486084,12196.82398635742
2024-11-27,SZ000895,SELL,181.7357961750497,82.47876739501953,14989.344460070604
2024-11-27,SZ002709,BUY,2277.1220776547907,5.527719497680664,12587.29210725149
2024-11-27,SH600276,SELL,21.49451123387468,450.4126892089844,9681.400608082218
2024-11-28,SZ000876,SELL,275.6602607358238,35.57368469238281,9806.25119763623
2024-11-28,SH600584,SELL,1374.8282212192298,6.202465534210205,8527.324657571797
2024-11-28,SZ002371,BUY,838.957161379433,11.019890785217285,9245.216291877265
2024-11-28,SZ002007,BUY,70.51198320352265,129.4494171142578,9127.735125266345
2024-11-29,SH600436,SELL,136.35008480892165,108.16495513916016,14748.300806577692
2024-11-29,SH603501,BUY,623.7828172403501,16.991125106811523,10598.771887210138
2024-11-29,SH600026,SELL,2330.63433370517,2.7400548458099365,6386.0658998798635
2024-11-29,SZ002603,BUY,5186.641823437111,2.061609983444214,10692.83256374725
2024-12-02,SH601012,BUY,794.0434593052738,11.719359397888184,9305.680677140905
2024-12-02,SZ000792,SELL,1187.7480999873471,7.026922225952148,8346.213522633525
2024-12-02,SH603501,SELL,623.7828172403501,16.991125106811523,10598.771887210138
2024-12-02,SH600132,BUY,727.8239224647484,13.101861000061035,9535.847864652334
2024-12-03,SZ000708,BUY,2384.722363880376,4.114344596862793,9811.569572849094
2024-12-03,SH603195,SELL,5313.222521987644,1.8795700073242188,9986.57369456752
2024-12-03,SZ300015,BUY,438.3731801420559,22.13739776611328,9704.441458800724
2024-12-03,SH600132,SELL,727.8239224647484,13.101861000061035,9535.847864652334
2024-12-04,SH601799,BUY,1624.9147049553444,6.397285461425781,10395.043218067787
2024-12-04,SH603986,BUY,691.2715247520342,14.867749214172363,10277.651668911789
2024-12-04,SZ002050,SELL,183.22249274814683,56.08512878417969,10276.057101938244
2024-12-04,SZ002603,SELL,5186.641823437111,1.9807627201080322,10273.506766417377
2024-12-05,SZ000708,SELL,2384.722363880376,4.215449810028076,10052.677435789237
2024-12-05,SH603019,BUY,1160.887547194463,8.772417068481445,10183.789733596266
2024-12-05,SH600026,BUY,3692.685014299466,2.606898546218872,9626.455195421493
2024-12-05,SZ002007,SELL,70.51198320352265,137.87950134277344,9722.157082791718
2024-12-06,SZ300628,BUY,14847.033554235057,0.7363506555557251,10932.62289071883
2024-12-06,SZ002709,SELL,2277.1220776547907,5.531945705413818,12596.91569818541
2024-12-06,SZ002648,BUY,6658.131367073911,1.727008581161499,11498.650005437186
2024-12-06,SZ300015,SELL,438.3731801420559,22.60403060913086,9909.000782153067
2024-12-09,SH601698,BUY,1440.7074977135119,3.94895601272583,5689.290535674958
2024-12-09,SZ002311,SELL,1241.3029886246284,8.299363136291504,10302.024264759713
2024-12-10,SH601799,SELL,1624.9147049553444,6.307012557983398,10248.357449805246
2024-12-10,SZ002648,SELL,6658.131367073911,1.7345335483551025,11548.75222554512
2024-12-10,SZ002916,BUY,1846.011378334797,7.629140853881836,14083.480823184718
2024-12-11,SZ300782,SELL,1172.434316308882,12.888035774230957,15110.375411524885
2024-12-11,SH600584,BUY,1653.8232616658618,7.334381580352783,12129.770867521058
2024-12-11,SZ000408,BUY,10836.659671329548,1.1172561645507812,12107.32482093178
2024-12-11,SH600026,SELL,3692.685014299466,2.3228323459625244,8577.488194665886
2024-12-12,SH600584,SELL,1653.8232616658618,7.334381580352783,12129.770867521058
2024-12-12,SZ000708,BUY,3059.054699895423,4.143036842346191,12673.776324419008
2024-12-12,SH600026,BUY,5543.544369624788,2.219266653060913,12302.603159271872
2024-12-12,SH603986,SELL,691.2715247520342,19.155961990356445,13241.971053165713
