datetime,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2024-11-15,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,-0.0046550035
2024-11-18,99364.9085127657,-0.005850914872342982,95000.0,0.95,50.0,0.0005,94414.9085127657,4950.0,0.0032986403
2024-11-19,97704.52970037112,-0.016508633047086645,135685.99743324783,0.4094604226201323,70.0,0.00020127830135757173,96544.63233028783,1159.8973700832794,-0.006230235
2024-11-20,96516.56345433273,-0.011954064459653685,175439.8645023923,0.40687844454148653,90.0,0.00020469880016140167,95477.74898153202,1038.81447280071,-0.004223764
2024-11-21,98705.8475060109,0.022890206329440083,212252.82376483653,0.38141597612789496,110.0,0.00020721831864085272,97745.54561536359,960.301890647308,0.01930058
2024-11-22,97615.57113490748,-0.01084308982847489,253993.20112111827,0.4228764395517689,130.0,0.00020262224078246283,96530.93833370418,1084.6328012033082,-0.0074077845
2024-11-25,97193.70157600177,-0.004116859167379371,292391.99056339654,0.39336746172606063,150.0,0.00020488534531401176,96191.56254411762,1002.1390318841441,0.0013219118
2024-11-26,98314.89856493102,0.011741470593512479,330813.82358458644,0.3953119636167524,170.0,0.00020577465078187976,97314.28389690348,1000.6146680275415,0.009759665
2024-11-27,98999.07790190105,0.007162488567335134,368640.877207381,0.38475403194168073,190.0,0.00020342796760138256,98013.75307393125,985.3248279698018,0.003638506
2024-11-28,97810.19315367853,-0.011807026620801271,404902.6275378787,0.3662837179799769,210.0,0.00020202208367857885,96865.39635474347,944.7967989350655,-0.0117842555
2024-11-29,98416.61544881803,0.0064044684397594085,443074.814562563,0.39026798530812146,230.0,0.00020447766592768274,97423.87227385343,992.7431749646021,0.008227348
2024-12-02,98883.1168383148,0.004943285107683647,486369.57766113104,0.43991314780666924,250.0,0.0002032177179513055,97757.79616463448,1125.3206736803222,-0.002508223
2024-12-03,99049.70242195508,0.0018869306470726019,526834.2573377239,0.4092172756119449,270.0,0.00020225899667687748,97993.54856681987,1056.1538551352114,-0.008559287
2024-12-04,99466.12967412424,0.004406144001422288,567177.9163647043,0.40730722092546073,290.0,0.00020191882974871872,98414.85242073666,1051.2772533875832,0.0067949295
2024-12-05,101005.23951246394,0.015674781389883524,605157.8033699822,0.3818373865526834,310.0,0.00020107347159807032,100014.69683916483,990.5426732991182,0.0069007874
2024-12-06,99985.67377240291,-0.009896177117996842,645596.6721454426,0.4003640699299593,330.0,0.00019800952996633427,98933.63758140907,1052.0361909938329,0.004645109
2024-12-09,100096.23639721904,0.0011557918295293263,646096.3893361647,0.004997887916019096,335.0,5.000716414014957e-05,99548.91739694728,547.3190002717622,0.01177907
2024-12-10,100908.2183500209,0.0082119166752678,666950.398554472,0.2083395936641501,345.0,9.990385612817934e-05,79516.89013144188,21391.32821857903,0.006049633
2024-12-11,101806.9444533583,0.009104571643021224,694925.403352302,0.2772321744973532,365.0,0.00019819991202922529,90736.95132722564,11069.993126132656,-0.0028859377
2024-12-12,101833.13455310542,0.00045370283918387674,736482.654296291,0.4081966231982131,385.0,0.00019645025304892413,90031.10017001691,11802.034383088512,0.009867907
2024-12-13,101210.15967897285,-0.005970305017130933,770055.662665145,0.32968648678241286,400.0,0.0001472997965330978,77671.27673176215,23538.882947210703,-0.00086796284
2024-12-16,101590.4645192835,0.00395518435679158,810182.8809304434,0.3964742116065955,420.0,0.00019760862015668913,78943.20815550908,22647.256363774417,1.513958e-05
2024-12-17,101408.18650396433,-0.001646591696481697,840483.6528189909,0.2982639367969017,435.0,0.0001476516528492963,68794.80545960434,32613.38104436,0.0020225048
2024-12-18,100795.48206302918,-0.005844739575458048,880932.1432821397,0.39886809790812655,455.0,0.0001972227360482198,67985.07602342374,32810.40603960544,-0.010843515
2024-12-19,101926.29297500837,0.011417286652387549,921230.8399509769,0.39980657708088285,475.0,0.00019842159182783262,69094.6671204906,32831.62585451777,-0.0031591058
2024-12-20,100325.26889989211,-0.01556049993405672,944010.2922274041,0.2234894609775767,490.0,0.00014716516771269114,75352.82800048204,24972.44089941006,0.0025787354
2024-12-23,101237.95732851946,0.009246807297900537,973376.5560109428,0.29271054147725584,505.0,0.0001495136785027459,67767.69484710653,33470.26248141294,0.008498788
2024-12-24,99841.9991149772,-0.01359132730303173,1015158.1667647001,0.4127069713405519,525.0,0.00019755436130639763,66047.67925569782,33794.31985927937,-0.005315602
2024-12-25,98574.94707137303,-0.012490255149719862,1052044.9139045544,0.36945120757624145,545.0,0.00020031650184576302,66834.17783987813,31740.769231494887,-0.0054457784
2024-12-26,97694.72339335117,-0.008726595383297626,1090447.5523493981,0.3895780782619983,565.0,0.00020289130853419615,66195.51124890913,31499.21214444205,-0.022926629
2024-12-27,97643.03059718866,-0.0003244064270995798,1130966.5920412303,0.41475156778620614,585.0,0.00020471934722076447,65301.49716350027,32341.533433688386,0.0013754368
2024-12-30,99185.83219155441,0.015954047972888342,1159950.4617619652,0.2968350075112211,600.0,0.0001536207951377523,57455.137607451106,41730.6945841033,0.011346698
2024-12-31,98952.12593302566,-0.002154604683015871,1195793.7926620438,0.36137551208781077,620.0,0.00020164170182465822,58707.378529842725,40244.74740318293,-0.0070130825
2025-01-02,99171.18263803184,0.002415882455804761,1234512.3528129675,0.3912857837650682,640.0,0.00020211794149361395,58205.41542640702,40965.76721162483,0.002865553
2025-01-03,99864.02283705364,0.00718797719316927,1272558.0297714802,0.38363641479780386,660.0,0.00020167148830924664,58873.273331032964,40990.74950602067,0.0026940107
2025-01-06,101679.05564391598,0.01842538238084699,1320718.434824884,0.48225981374680027,685.0,0.0002503404057814901,69965.84808886657,31713.20755504942,0.026976824
2025-01-07,101225.69227169364,-0.0042128968400581045,1370123.283283012,0.4858901191130822,710.0,0.000245871677718477,79026.38393687434,22199.308334819296,0.0030795336
2025-01-08,101514.35540364656,0.003049256814410934,1410078.4945128108,0.39471413169057445,730.0,0.00019757829807001204,79405.11962640952,22109.235777237038,2.014637e-05
2025-01-09,102410.68404759695,0.008977337641821344,1439361.461875909,0.2884613436854496,745.0,0.00014776235282543276,70755.94271870356,31654.74132889339,-0.00036644936
2025-01-10,101948.34897772412,-0.004368050795021796,1468681.1141895556,0.28629485864990284,760.0,0.00014646909294179227,60456.57683448268,41491.77214324143,0.004786253
2025-01-13,101907.71381782027,-0.0001533635420350213,1517843.196494352,0.4822253895993787,785.0,0.0002452222154717046,69659.64698038314,32248.066837437138,0.0051734447
2025-01-14,102261.51199198593,0.003717070670850588,1568832.8243783447,0.5003510134193221,810.0,0.00024531999652835243,79481.66566700829,22779.846324977647,0.0062357187
2025-01-15,102312.42542964466,0.0006934518791809873,1608256.433018738,0.3855175605410842,830.0,0.00019557700263191267,80185.77196739396,22126.653462250702,-0.0018087626
2025-01-16,101665.00625772389,-0.006132384891532259,1647129.7003085043,0.37994668904118223,850.0,0.0001954796782112554,79966.7293798874,21698.276877836484,-0.0108498335
2025-01-17,103851.76665346118,0.021657013330189174,1675386.2731703096,0.2779380428126277,865.0,0.0001475433932692095,73082.66731893455,30769.099334526636,0.0018018484
2025-01-20,103845.07167805862,0.00017626108045447006,1729197.4170122233,0.5181533793399388,890.0,0.00024072772958616586,80697.52099916105,23147.550678897584,-0.012013257
2025-01-21,106002.06035296185,0.021011961758453497,1780911.2676658826,0.4979904180140878,915.0,0.000240743249496762,93450.76669859092,12551.29365437093,0.015064597
2025-01-22,105322.90464688677,-0.006218329189831267,1822213.0676297965,0.3896320489091307,935.0,0.00018867557794069963,93245.67954890449,12077.225097982284,0.0007522106
2025-01-23,103897.07132649806,-0.013395313442206881,1853171.7523123987,0.29394066548389103,950.0,0.0001424191637164783,81572.16878214394,22324.90254435411,0.006668091
2025-01-24,106874.23709395071,0.028847451898177317,1886466.3383869864,0.32045740702313863,970.0,0.00019249820754956324,97552.49812872689,9321.738965223827,0.013433576
2025-01-27,108549.74519867141,0.015817732605048856,1924037.4337771095,0.35154492244089836,985.0,0.00014035187906711176,91867.63466541233,16682.110533259074,0.0008149147
2025-02-05,110100.71868238295,0.01447238296908289,1977170.9468129864,0.4894853777743113,1005.0,0.00018424732332070724,94440.06849339322,15660.650188989726,0.0048122406
2025-02-06,110448.47226119517,0.0033401560245315846,2026887.3275793295,0.45155364434781053,1025.0,0.00018165185694832498,95784.2408222429,14664.23143895228,0.004172921
2025-02-07,111831.77919401511,0.012660265046610462,2054102.2212361642,0.24640353188838424,1040.0,0.00013580993646093267,102441.46539700168,9390.31379701342,-0.0070717335
2025-02-10,116396.26999261355,0.04094981615783438,2083158.8571784117,0.2598244984713834,1055.0,0.00013413003090987892,102720.32178033423,13675.948212279327,0.013197899
2025-02-11,118227.55996672854,0.015905062715776633,2118492.349851552,0.3035620701194505,1075.0,0.00017182681198692356,107237.68548224654,10989.874484481998,0.020129919
2025-02-12,118783.20338673933,0.004871825098599549,2168322.295717124,0.42147487336789363,1095.3405739813008,0.0001720459593941131,105142.09568190666,13641.107704832668,0.020730853
2025-02-13,120777.7896357528,0.016918101143227848,2197510.734591535,0.2457286724233054,1110.3405739813008,0.00012628048050836255,111174.11591388183,9603.673721870955,0.019317985
2025-02-14,124136.6696867995,0.02785181001566311,2208769.866117036,0.09322187100341006,1115.3405739813008,4.139834000174394e-05,103278.86443942729,20857.805247372224,0.056677103
