model,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,final_value,trading_days
VolumeFactor_LightGBM,-2.902047374033534,-33.78734285282867,25.854110529694285,-1.3966561243227194,-5.789740160617097,97097.95262596647,18
VolumeFactor_XGBoost,-3.8017523752948312,-41.87803986404668,28.12147235769325,-1.7188422853408492,-7.521261816350444,96198.24762470517,18
Alpha158_LightGBM,-6.882675624902679,-63.15090390799455,27.0502902211775,-3.4720596489318947,-7.788282748639186,93117.32437509732,18
Alpha158_XGBoost,-6.17763181919263,-59.04664636588725,21.348139253632638,-3.965314530342419,-8.031127735398158,93822.36818080737,18
