date,stock,action,amount,price,value,cost,cash_before,cash_after,account_value,warning
2025-04-17,SZ002459,BUY,10010.907110675906,0.917405366897583,9184.059910847252,11.939277884101429,100000.0,14454.999999999998,99005.1817606944,
2025-04-17,SH601689,BUY,2381.9623620673074,3.8796660900115967,9241.218603796458,12.013584184935395,100000.0,14454.999999999998,99005.1817606944,
2025-04-17,SZ002601,BUY,4328.2553006503485,2.1861817836761475,9462.35289338152,12.301058761395975,100000.0,14454.999999999998,99005.1817606944,
2025-04-17,SH600233,BUY,1467.5877512835812,6.233727931976318,9148.542757802774,11.893105585143607,100000.0,14454.999999999998,99005.1817606944,
2025-04-17,SH601899,BUY,9346.773277010769,1.023643136024475,9567.760308989064,12.438088401685782,100000.0,14454.999999999998,99005.1817606944,
2025-04-17,SZ300759,BUY,938.2725770736834,10.303483963012695,9667.47645081329,12.567719386057277,100000.0,14454.999999999998,99005.1817606944,
2025-04-17,SZ000895,BUY,72.38601004371702,127.12229919433594,9201.876026261602,11.962438834140082,100000.0,14454.999999999998,99005.1817606944,
2025-04-17,SZ000157,BUY,89.61546898597052,107.00270080566406,9589.097215465072,12.465826380104593,100000.0,14454.999999999998,99005.1817606944,
2025-04-17,SH601633,BUY,1465.9888598367077,6.4719438552856445,9487.797593337387,12.334136871338602,100000.0,14454.999999999998,99005.1817606944,
2025-04-18,SZ300347,BUY,350.7155039466303,29.297378540039062,10275.04487898499,13.357558342680488,14454.999999999998,12008.422662596176,98430.63840401561,
2025-04-18,SH600233,SELL,1467.5877512835812,6.233727931976318,9148.542757802774,11.893105585143607,14454.999999999998,12008.422662596176,98430.63840401561,
2025-04-18,SZ300759,SELL,938.2725770736834,10.303483963012695,9667.47645081329,12.567719386057277,14454.999999999998,12008.422662596176,98430.63840401561,
2025-04-18,SH600584,BUY,1027.3628852652607,10.371825218200684,10655.628281637646,13.85231676612894,14454.999999999998,12008.422662596176,98430.63840401561,
2025-04-21,SH600745,BUY,611.9178360732136,15.851091384887695,9699.565539639238,12.60943520153101,12008.422662596176,11378.958934883185,96203.95954248907,
2025-04-21,SZ000157,SELL,89.61546898597052,105.5113754272461,9455.451392267465,12.292086809947705,12008.422662596176,11378.958934883185,96203.95954248907,
2025-04-21,SZ002129,BUY,1822.3051548649942,5.382604598999023,9808.748107355945,12.751372539562727,12008.422662596176,11378.958934883185,96203.95954248907,
2025-04-21,SH601633,SELL,1465.9888598367077,6.613452434539795,9695.247594095292,12.60382187232388,12008.422662596176,11378.958934883185,96203.95954248907,
2025-04-22,SZ300347,SELL,350.7155039466303,27.869285583496094,9774.190538048391,12.706447699462908,11378.958934883185,10980.809563545754,95537.22791622982,
2025-04-22,SH601012,BUY,359.11789468100335,26.888931274414062,9656.296389489766,12.553185306336696,11378.958934883185,10980.809563545754,95537.22791622982,
2025-04-22,SZ000895,SELL,72.38601004371702,119.16123962402344,8625.606688246331,11.21328869472023,11378.958934883185,10980.809563545754,95537.22791622982,
2025-04-22,SH600030,BUY,297.60297146685093,32.4886474609375,9668.718023313962,12.56933343030815,11378.958934883185,10980.809563545754,95537.22791622982,
2025-04-23,SZ300782,BUY,1302.6061606267488,6.66445255279541,8681.156952475963,11.285504038218754,10980.809563545754,10702.468795061992,92356.96834528257,
2025-04-23,SH600745,SELL,611.9178360732136,14.691679000854492,8990.100422485153,11.687130549230698,10980.809563545754,10702.468795061992,92356.96834528257,
2025-04-23,SH601878,BUY,7246.491932458907,1.2453445196151733,9024.379014523267,11.731692718880247,10980.809563545754,10702.468795061992,92356.96834528257,
2025-04-23,SZ002129,SELL,1822.3051548649942,5.258352279663086,9582.322465326135,12.457019204923975,10980.809563545754,10702.468795061992,92356.96834528257,
2025-04-24,SZ002916,BUY,1761.0513526559255,5.017016887664795,8835.22437631971,11.485791689215622,10702.468795061992,10538.225445208574,92072.72066861198,
2025-04-24,SZ002459,SELL,10010.907110675906,0.8245402574539185,8254.395926383973,10.730714704299164,10702.468795061992,10538.225445208574,92072.72066861198,
