model,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,trading_days
LightGBM,-6.882675624902679,-63.15090390799455,27.05029022117752,-3.4720596489318925,-7.788282748639186,18
XGBoost,-6.177631819192609,-59.04664636588711,21.34813925363256,-3.9653145303424244,-8.031127735398114,18
Buy & Hold,-5.978858470916748,-59.90338134765625,19.21109057375237,-4.548705637879826,-5.273510932922363,18
