date,stock,action,amount,price,value,cost,cash_before,cash_after,account_value,warning
2025-04-17,SZ002459,BUY,10010.907110675906,0.917405366897583,9184.059910847252,11.939277884101429,100000.0,14455.0,99167.0633719286,
2025-04-17,SH601689,BUY,2381.9623620673074,3.8796660900115967,9241.218603796458,12.013584184935395,100000.0,14455.0,99167.0633719286,
2025-04-17,SZ002271,BUY,109.18484121038897,87.75037384033203,9581.010633908923,12.455313824081601,100000.0,14455.0,99167.0633719286,
2025-04-17,SZ002241,BUY,254.70344218165752,37.08293151855469,9445.150303962559,12.278695395151326,100000.0,14455.0,99167.0633719286,
2025-04-17,SH600233,BUY,1467.5877512835812,6.233727931976318,9148.542757802774,11.893105585143607,100000.0,14455.0,99167.0633719286,
2025-04-17,SH601899,BUY,9346.773277010769,1.023643136024475,9567.760308989064,12.438088401685782,100000.0,14455.0,99167.0633719286,
2025-04-17,SZ002311,BUY,676.4528685240567,13.891608238220215,9397.018241156482,12.216123713503427,100000.0,14455.0,99167.0633719286,
2025-04-17,SH600926,BUY,7174.045172881723,1.3221076726913452,9484.860167301234,12.330318217491605,100000.0,14455.0,99167.0633719286,
2025-04-17,SZ002371,BUY,645.463306459634,14.969778060913086,9662.44244416385,12.561175177413004,100000.0,14455.0,99167.0633719286,
2025-04-18,SH600233,SELL,1467.5877512835812,6.233727931976318,9148.542757802774,11.893105585143607,14455.0,12001.634846675797,97690.45498963576,
2025-04-18,SH600600,BUY,725.3126665169485,13.95979118347168,10125.213367303633,13.162777377494724,14455.0,12001.634846675797,97690.45498963576,
2025-04-18,SH601788,BUY,10173.067325909853,1.0660713911056519,10845.216035944171,14.098780846727422,14455.0,12001.634846675797,97690.45498963576,
2025-04-18,SZ002371,SELL,645.463306459634,14.969778060913086,9662.44244416385,12.561175177413004,14455.0,12001.634846675797,97690.45498963576,
2025-04-21,SZ002601,BUY,4281.558841683607,2.354349374771118,10080.285381963553,13.104370996552618,12001.634846675797,11431.920392623915,95722.12989372018,
2025-04-21,SH600600,SELL,725.3126665169485,13.95979118347168,10125.213367303633,13.162777377494724,12001.634846675797,11431.920392623915,95722.12989372018,
2025-04-21,SZ002311,SELL,676.4528685240567,13.514822006225586,9142.140113703344,11.884782147814349,12001.634846675797,11431.920392623915,95722.12989372018,
2025-04-21,SH600176,BUY,188.2840004311268,53.88227081298828,10145.169500982776,13.18872035127761,12001.634846675797,11431.920392623915,95722.12989372018,
2025-04-22,SZ002271,SELL,109.18484121038897,82.04302978515625,8957.855179511498,11.645211733364947,11431.920392623915,10812.617320588693,95357.81442031225,
2025-04-22,SZ300316,BUY,1057.8361767034141,9.15648365020752,9686.059656582844,12.591877553557696,11431.920392623915,10812.617320588693,95357.81442031225,
2025-04-22,SH603392,BUY,585.9483116691143,15.596031188964844,9138.4681439128,11.880008587086639,11431.920392623915,10812.617320588693,95357.81442031225,
2025-04-22,SH600926,SELL,7174.045172881723,1.2725155353546143,9129.083933827773,11.867809113976104,11431.920392623915,10812.617320588693,95357.81442031225,
2025-04-23,SZ002180,BUY,2020.8552985833903,4.67125129699707,9439.922934551063,12.271899814916381,10812.617320588693,10478.70292027257,92483.00869164038,
2025-04-23,SZ002459,SELL,10010.907110675906,0.8571881055831909,8581.230501369575,11.155599651780447,10812.617320588693,10478.70292027257,92483.00869164038,
2025-04-23,SZ300316,SELL,1057.8361767034141,9.15648365020752,9686.059656582844,12.591877553557696,10812.617320588693,10478.70292027257,92483.00869164038,
2025-04-23,SZ000568,BUY,93.94797891230876,98.47257995605469,9251.299865152063,12.026689824697682,10812.617320588693,10478.70292027257,92483.00869164038,
2025-04-24,SH600196,BUY,335.3431265342414,28.012720108032227,9393.873143756138,12.212035086882981,10478.70292027257,11067.087917183404,91830.010643809,
2025-04-24,SH601788,SELL,10173.067325909853,0.9848468899726868,10018.913717405076,13.024587832626597,10478.70292027257,11067.087917183404,91830.010643809,
2025-04-24,SH601633,BUY,1336.360776732477,7.092085361480713,9477.584702321396,12.320860113017815,10478.70292027257,11067.087917183404,91830.010643809,
2025-04-24,SH600176,SELL,188.2840004311268,50.313446044921875,9473.216896813545,12.315181965857608,10478.70292027257,11067.087917183404,91830.010643809,
2025-04-25,SZ002601,SELL,4281.558841683607,2.2180755138397217,9496.82082780237,12.345867076143081,11067.087917183404,10895.793430212507,93027.27145054546,
2025-04-25,SH600346,BUY,1006.7131089972917,9.123360633850098,9184.606748206734,11.939988772668755,11067.087917183404,10895.793430212507,93027.27145054546,
2025-04-25,SH601788,BUY,9855.102352614298,0.9614507555961609,9475.195603398519,12.317754284418076,11067.087917183404,10895.793430212507,93027.27145054546,
2025-04-25,SH601633,SELL,1336.360776732477,7.092085361480713,9477.584702321396,12.320860113017815,11067.087917183404,10895.793430212507,93027.27145054546,
